Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,0.1 uF,C_0603_1608Metric,197.44508,-47.893,-90,top
C3,0.1 uF,C_0603_1608Metric,181.03668,-47.8858,-90,top
C4,0.1 uF,C_0603_1608Metric,214.62822,-136.78286,90,top
C5,0.1 uF,C_0603_1608Metric,221.65982,-129.69286,0,top
C6,0.1 uF,C_0603_1608Metric,95.3629,-65.28104,0,top
C7,10uF,C_0603_1608Metric,225.23982,-129.08786,-90,top
C8,0.1 uF,C_0603_1608Metric,90.2829,-62.20304,0,top
C9,10uF,C_0603_1608Metric,214.60822,-129.08786,-90,top
C10,0.1 uF,C_0603_1608Metric,163.94982,-136.80786,90,top
C11,0.1 uF,C_0603_1608Metric,170.88982,-129.70286,0,top
C12,0.1 uF,C_0603_1608Metric,85.20182,-59.13424,0,top
C13,10uF,C_0603_1608Metric,174.44982,-129.10786,-90,top
C14,0.1 uF,C_0603_1608Metric,80.12182,-56.05624,0,top
C15,10uF,C_0603_1608Metric,163.91982,-129.10286,-90,top
C16,0.1 uF,C_0603_1608Metric,113.14588,-136.7834,90,top
C17,0.1 uF,C_0603_1608Metric,120.10088,-129.6834,0,top
C18,0.1 uF,C_0603_1608Metric,75.04254,-52.98744,0,top
C19,10uF,C_0603_1608Metric,123.64588,-129.0834,-90,top
C20,0.1 uF,C_0603_1608Metric,69.96254,-49.90944,0,top
C21,10uF,C_0603_1608Metric,113.12588,-129.0784,-90,top
C22,0.1 uF,C_0603_1608Metric,62.32888,-136.8084,90,top
C23,0.1 uF,C_0603_1608Metric,69.30088,-129.7094,0,top
C24,0.1 uF,C_0603_1608Metric,64.88218,-46.84064,0,top
C25,10uF,C_0603_1608Metric,72.85088,-129.1058,-90,top
C26,0.1 uF,C_0603_1608Metric,59.80218,-43.76264,0,top
C27,10uF,C_0603_1608Metric,62.32588,-129.1058,-90,top
D1,1N4007,D_SOD-123F,209.85718,-55.8793,-90,top
R1,470R,R_0603_1608Metric,133.75676,-45.7134,0,top
R2,470R,R_0603_1608Metric,133.75676,-48.2534,0,top
R3,470R,R_0603_1608Metric,133.75676,-55.8734,0,top
R4,1.5K,R_0603_1608Metric,95.4137,-62.17304,0,top
R5,10K,R_0603_1608Metric,225.22982,-132.92286,-90,top
R6,1.5K,R_0603_1608Metric,90.3337,-59.09504,0,top
R7,10K,R_0603_1608Metric,214.60822,-132.92286,-90,top
R8,1.5K,R_0603_1608Metric,85.25262,-56.02624,0,top
R9,10K,R_0603_1608Metric,174.44982,-132.94286,-90,top
R10,1.5K,R_0603_1608Metric,80.17262,-52.94824,0,top
R11,10K,R_0603_1608Metric,163.91982,-132.94786,-90,top
R12,1.5K,R_0603_1608Metric,75.09334,-49.87944,0,top
R13,10K,R_0603_1608Metric,123.65588,-132.9284,-90,top
R14,1.5K,R_0603_1608Metric,70.01334,-46.80144,0,top
R15,10K,R_0603_1608Metric,113.12588,-132.9184,-90,top
R16,1.5K,R_0603_1608Metric,64.93298,-43.73264,0,top
R17,10K,R_0603_1608Metric,72.85088,-132.9558,-90,top
R18,1.5K,R_0603_1608Metric,59.85298,-40.65464,0,top
R19,10K,R_0603_1608Metric,62.32588,-132.9558,-90,top
R20,47K,R_0603_1608Metric,224.41712,-126.05354,0,top
R21,47K,R_0603_1608Metric,173.62704,-126.05472,0,top
R22,47K,R_0603_1608Metric,72.02582,-126.02706,0,top
R23,47K,R_0603_1608Metric,122.82656,-126.05374,0,top
R24,47K,R_0603_1608Metric,215.43314,-126.05434,180,top
R25,47K,R_0603_1608Metric,164.74402,-126.05456,180,top
R26,47K,R_0603_1608Metric,63.15082,-126.02706,180,top
R27,47K,R_0603_1608Metric,113.95082,-126.0537,180,top
U1,L7805,TO-263-2,189.24088,-54.7484,-90,top
U3,PAM8403D,SOP-16_3.9x9.9mm_P1.27mm,219.93982,-136.91786,180,top
U4,PAM8403D,SOP-16_3.9x9.9mm_P1.27mm,169.16982,-136.94786,180,top
U5,PAM8403D,SOP-16_3.9x9.9mm_P1.27mm,118.37588,-136.9184,180,top
U6,PAM8403D,SOP-16_3.9x9.9mm_P1.27mm,67.57588,-136.9484,180,top
